problem_no,sub_id,stem,correct,explanation
101-24-1,1,株式とは金融商品取引法で定める有価証券である。,FALSE,金融商品取引法では「株券」が有価証券として定義されています。
101-24-1,2,有価証券に化体された不動産とは、有価証券のキャッシュフローに依存して決まる財産的価値に対する請求権を不動産の形に変えた、という意味である。,FALSE,説明が逆です。不動産の持つ価値やキャッシュフローを源泉として、有価証券の形に変えることを指します。
101-24-1,3,特別法人は単にvehicleと呼ばれることがある。,TRUE,はい、不動産証券化の器（うつわ）として機能するため、乗り物や媒体を意味する「ビークル（vehicle）」と呼ばれます。
101-24-1,4,不動産証券化とは、特別法人が不動産証券化商品を発行しそれを投資家に販売すること、ということもできる。,TRUE,その通りです。不動産から生じる収益を裏付けとした証券を発行し、投資家に販売する仕組みが不動産証券化の基本です。
101-24-1,5,証券投資信託も不動産ファンドと同じようにファンドを利用した集団投資商品の一種である。,TRUE,はい、どちらも多くの投資家から資金を集めて専門家が運用する「ファンド」という形態をとる集団投資商品です。
101-24-2,1,企業の価値向上のための原則においては、株主が企業の外に持っている投資機会が企業の内部で行う投資の基準になる。,TRUE,株主が期待するリターン（ハードル・レート）を上回る投資を企業が行うことで、企業価値が向上すると考えられます。
101-24-2,2,企業の資金調達には、企業が金融資産を売り出すという側面がある。,TRUE,株式や社債の発行は、投資家から見れば金融資産の購入であり、企業にとっては資金調達の手段です。
101-24-2,3,ダイベストメント(divestment)は投資(investment)と同じく拡大型企業戦略である。,FALSE,ダイベストメントは、事業や資産を売却する「縮小型」の企業戦略です。
101-24-2,4,他の資産に比べて、オンバランス賃貸不動産の資産の効率性（回転率）は高いが、そのマージン（税引き後営業利益率）は非常に低い、という傾向がある。,FALSE,一般的に、不動産は資産回転率が低い一方、利益率は高い傾向にあります。
101-24-2,5,現在日本では、不動産証券化は企業の資金調達のためだけを目的として行われる。,FALSE,資金調達だけでなく、資産のオフバランス化による財務体質の改善や、企業価値向上（CRE戦略）のためにも活用されます。
103-24-4,1,ストック社会への変化の中で、不動産をより良好な状態で維持し、キャッシュフローや不動産価値を安定的に維持したいという要請が強まっている。,TRUE,はい、社会が成熟し既存の建物を有効活用するストック型社会に移行する中で、不動産の維持管理の重要性が増しています。
103-24-4,2,他の金融資産への投資と比較すると、一般的に不動産投資は、社債や株式への投資よりも相対的にリスクが高いと認識されている。,FALSE,不動産投資のリスクは、一般的に「ミドルリスク・ミドルリターン」とされ、社債（ローリスク）よりは高く、株式（ハイリスク）よりは低いと位置づけられます。
103-24-4,3,リスク要因は、不動産投資の成否に係ることから、どのようなリスクがあるかの洗い出しが最も重要である。,TRUE,はい、投資判断を行う上で、物理的リスク、経済的リスク、法的リスクなど、潜在的なリスクを事前に把握・分析することが不可欠です。
103-24-4,4,建物の機能を維持・更新し、適正な状態にし、長持ちさせるためには、不具合が発生した都度の事後の修繕が欠かせない。,FALSE,事後的な修繕ではなく、損傷や劣化を予測して行う「計画的な修繕」が建物の長寿命化と価値維持には不可欠です。
103-24-5,1,バリューアッド投資とは、ファンドの主要な期待リターンの源泉が、不動産賃貸から生じるインカムリターンであるものをいう。,FALSE,これは「コア投資」の説明です。バリューアッド投資は、インカムリターンに加え、物件の改修等で価値を高めて売却益（キャピタルリターン）を狙う投資手法です。
103-24-5,2,機関投資家には、年金基金、一般機関投資家（例：銀行、生命保険会社・損害保険会社など）、海外の個人投資家が含まれる。,FALSE,機関投資家とは、多数の個人などから資金を集めて運用する法人投資家のことで、年金基金や金融機関などを指します。個人投資家は含まれません。
103-24-5,3,投資対象としての不動産も拡大しており、近年では不動産証券化を用いた老朽化不動産の更新・活用が非常に活発に行われている。,FALSE,老朽化不動産の更新・活用における不動産証券化の利用は、まだ活発とは言えず、今後の活用が期待される分野です。
103-24-5,4,わが国の不動産投資ビジネスが、今後もますます安定的に成長・発展していくためには、各プレーヤー相互の信頼関係と専門家としての自覚が必要である。,TRUE,はい、市場の健全な発展のためには、アセットマネジャーやプロパティマネジャーといった専門家が高い倫理観と専門性を持つことが求められます。
103-24-6,1,アセットマネジャーの主な業務は、入口戦略（物件取得）、期中戦略（リーシングや修繕）、出口戦略（物件売却）の3つの戦略を立案し実行することである。,TRUE,その通りです。これら3つの戦略を適切に立案・実行し、投資家のリターンを最大化することがアセットマネジャーの役割です。
103-24-6,2,デューデリジェンスは物的調査、法的調査、経済的調査に大別され、それぞれの調査は一般的にアセットマネジャーにて完結するもので、第三者に委託するものではない。,FALSE,デューデリジェンスは高度な専門性が求められるため、通常は弁護士、不動産鑑定士、建築士などの外部専門家に委託して行われます。
103-24-6,3,ファンドを組成しようとする場合、投資家の趣向や投資資金の性格にあったファンドを組成すべきであり、オポチュニスティックファンドとは、安定的な利益配当を趣向する投資家に適合するファンドである。,FALSE,安定的な利益配当を好む投資家には「コアファンド」や「REIT」が適しています。オポチュニスティックファンドは、より高いリスクを取ってハイリターンを狙う投資戦略です。
103-24-6,4,アセットマネジメントでは、ストラクチャーにより様々な法令を順守する必要があり、例えば、GK-TKスキームでは金融商品取引法、TMKスキームでは資産の流動化に関する法律、REITでは投資信託及び投資法人に関する法律に則る必要がある。,TRUE,はい、各スキーム（仕組み）はそれぞれ根拠となる法律があり、アセットマネジャーはそれらを遵守して業務を遂行しなければなりません。
103-24-7,1,レンダーを選定する場合、一般的に競争入札を行うことで金利などの経済条件を好条件で調達することが可能になるので、フィナンシャルアドバイザーを起用することがあるが、必ずしもフィナンシャルアドバイザーを起用する必要はなく、アセットマネジャー自らが競争入札を行う場合もある。,TRUE,その通りです。ファイナンスのアレンジはアセットマネジャーの重要な業務の一つであり、外部の専門家を活用するか自ら行うかは状況に応じて判断されます。
103-24-7,2,ストラクチャーを構成するうえでどのようなローンを調達するかは極めて重要であり、ローレバレッジ（浅めのLTV）にして配当利回りを高める設計とするか、又はその逆の設計にするかは、投資対象不動産の特性や投資家の志向によって変化する。,FALSE,一般的に、借入比率を高める「ハイレバレッジ」にすることで、自己資金に対する配当利回りを高める効果が期待できます。
103-24-7,3,配当停止事由とは資金移動が制限される事由のことであり、一般的にGK-TKスキームの場合では、信託口座からメイン口座への資金移動が禁止され、かつ投資家への配当やAM報酬の支払いが停止される。,FALSE,資金移動が禁止されるのは、メイン口座からリリース口座（配当等の支払いに使われる口座）への移動です。信託口座からメイン口座への家賃収入等の移動は通常通り行われます。
103-24-7,4,強制期限前弁済事由とは、貸付人が口座に留保された金銭をもって貸付の返済に充当できる事由のことであり、一般的にGK-TKスキームの場合ではメイン口座に留保された資金を返済に充当する。,TRUE,はい、ローン契約で定められた特定の事由が発生した場合、レンダー（貸付人）は期限の到来を待たずに、口座資金から貸付金を回収することができます。
103-24-8,1,キャッシュマネジメントとは物件運営レベル及びSPC運営レベルのそれぞれにおいて入出金管理や効率的な資産運用を行うものであり、年度資金計画の作成と予実管理、資金移動の承認と実行、コベナンツ管理、配当の実施等の業務がある。,TRUE,その通りです。ファンド全体の資金繰りを管理し、円滑な事業運営と投資家への配当を実現するための重要な業務です。
103-24-8,2,DSCRテストとは、ローン契約において定められる返済の余裕度をはかるテストであり、基準値を何度か下回ると配当停止事由や強制期限前弁済事由等に抵触する場合もあるので、アセットマネジャーはこれに抵触しないよう注意を払わなければならない。,TRUE,DSCR（Debt Service Coverage Ratio：元利金返済カバー率）は、不動産の収益がローン返済額をどの程度上回っているかを示す指標で、レンダーが重視する項目です。
103-24-8,3,LTVテストとは、ある時点の不動産鑑定評価額に対するローン元本額の割合であるLTV値が、ローン契約において定められた基準値を満たしているかテストするもので、LTV値が基準値を何度か上回ると物件の強制売却に至る場合もある。,TRUE,LTV（Loan to Value：借入金割合）は、不動産価値に対する借入金の割合を示す指標で、不動産価格の下落時にこの数値が上昇し、基準値を超えるとペナルティが発生することがあります。
103-24-8,4,GK-TKスキームにおいて、口座の階層は信託口座、メイン口座、リリース口座の3階層に分けられており、一般に信託口座レベルでは物件運営にかかわる入出金のほかAM報酬の支払いが行われる。,FALSE,AM報酬は、物件運営費やローン返済などを終えた後、リリース口座から投資家への配当と共に支払われるのが一般的です。
