problem_no,sub_id,stem,correct,explanation
105-1,イ,専門家責任とは、依頼者に対して負う損害賠償責任のみを指し、第三者に対して負う損害賠償責任は含まれない。,FALSE,専門家責任は、依頼者だけでなく、取引の相手方など契約関係のない第三者に対して負う場合もあります。
105-1,ロ,宅建業者の従業員が依頼者の指示に反し、中途解約条項のない賃貸借契約を締結させた場合、宅建業者は善管注意義務違反に基づき依頼者へ損害賠償責任を負う可能性がある。,TRUE,はい、依頼者からの具体的な指示に反しているため、契約上の債務不履行（善管注意義務違反）として損害賠償責任を負う可能性があります。
105-1,ハ,宅建業者の従業員が依頼者の指示に反して契約を締結させた事例において、当該従業員は宅建業法上の重要事項だけでなく信義則上の説明義務も負う。,TRUE,その通りです。宅建業法上の規定だけでなく、取引の公正性を保つための信義誠実の原則（信義則）に基づく説明義務も負います。
105-1,ニ,匿名組合出資持分の私募を取扱う会社の従業員が説明義務違反を犯した場合、賠償責任を負うのは従業員個人のみであり、会社が責任を負うことはない。,FALSE,従業員個人だけでなく、会社も使用者責任（民法第715条）に基づき、投資家に対して損害賠償責任を負う可能性があります。
105-2,イ,金融商品取引業者等は、自己又は第三者の利益と依頼者の利益が対立する場合には、利益相反行為をしてはならない義務を負う場合がある。,TRUE,はい、これは投資家の利益を保護するための忠実義務の一環であり、金商法でも自己取引などが原則禁止されています。
105-2,ロ,金融商品取引業者等は、「顧客本位の業務運営に関する原則」に基づき、利益相反対策の方針を策定・公表する法的義務がある。,FALSE,「顧客本位の業務運営に関する原則」は、金融庁が策定したプリンシプル（行動原則）であり、それ自体に直接的な法的義務を課すものではありません。
105-2,ハ,合同会社と投資一任契約を締結した運用会社が、その合同会社に対して忠実義務を負うことは、民法の善管注意義務の規定から解釈上導き出される。,FALSE,投資運用業者が顧客（権利者）に対して忠実義務を負うことは、民法上の解釈ではなく、金融商品取引法第42条第1項に明文で規定されています。
105-2,ニ,投資口の募集の取扱いの委託を受けた第一種金融商品取引業者は、金商法上、委託者である投資法人ではなく、勧誘の相手方である投資家に対して忠実義務を負う。,FALSE,第一種金融商品取引業者に対しては、金商法上に直接的な忠実義務の規定はありません。ただし、民法上の委任契約に基づき、委託者（この場合は投資法人）に対して善管注意義務や忠実義務を負うと解釈されます。
105-3,イ,上場不動産投資法人がその資産運用会社の親法人から不動産を購入する際、資産運用会社は、取引に先立ち、投資法人から事前に取引の同意を得る必要がある。,TRUE,はい、これは投資主保護のための利益相反取引規制として、投信法で定められた手続きです。
105-3,ロ,上場不動産投資法人がその資産運用会社の親法人から不動産を購入する際、資産運用会社は、取引に先立ち、自社の社内規程に基づき取引の審議及び決議を行う。,TRUE,はい、法令遵守だけでなく、資産運用会社自身の内部統制として、利益相反のおそれのある取引について厳格な意思決定プロセスを経ることが求められます。
105-3,ハ,上場不動産投資法人がその資産運用会社の親法人から不動産を購入した後、投資法人は、取引に係る事項を記載した取引報告書面を、資産運用会社に交付する。,FALSE,取引報告書面を交付するのは、資産運用会社から投資法人に対してです。
105-3,ニ,上場不動産投資法人がその資産運用会社の親法人から不動産を購入した後、投資法人は、投資主に通知する資産運用報告において、期中に行ったこの取引を表示する。,TRUE,はい、投資信託協会の自主規制規則に基づき、投資家への情報開示として、利害関係者との取引状況を資産運用報告書に記載することが求められます。
105-4,1,上場投資法人Aの資産運用会社Bの役員Dが、Aの合併という重要事実の公表前にAの投資口を3000万円で買い付け、4000万円で売却した場合、没収される財産は1000万円である。,FALSE,インサイダー取引で没収されるのは、不正に得た「利益」だけでなく、取引された「財産全体」です。この場合、売却して得た4000万円全額が没収対象となります。
105-4,2,上場投資法人Aの資産運用会社Bの役員Dが、Aの合併という重要事実の公表前にAの投資口を3000万円で買い付け、4000万円で売却した場合、没収される財産は2000万円である。,FALSE,インサイダー取引で没収されるのは、不正に得た「利益」だけでなく、取引された「財産全体」です。この場合、売却して得た4000万円全額が没収対象となります。
105-4,3,上場投資法人Aの資産運用会社Bの役員Dが、Aの合併という重要事実の公表前にAの投資口を3000万円で買い付け、4000万円で売却した場合、没収される財産は3000万円である。,FALSE,インサイダー取引で没収されるのは、不正に得た「利益」だけでなく、取引された「財産全体」です。この場合、売却して得た4000万円全額が没収対象となります。
105-4,4,上場投資法人Aの資産運用会社Bの役員Dが、Aの合併という重要事実の公表前にAの投資口を3000万円で買い付け、4000万円で売却した場合、没収される財産は4000万円である。,TRUE,その通りです。インサイダー取引で没収されるのは、不正に得た「利益」だけでなく、取引された「財産全体」とされています。この場合、売却して得た4000万円が没収対象となります。
105-5,イ,「信認」関係は通常、「信認する者」（信認者・委託者）、「信認される者」（受認者・受託者）、「利益を享受する者」（受益者）の3者で構成される。,TRUE,はい、信託などが典型で、資産を託す人（信認者）、託されて管理する人（受認者）、その利益を受ける人（受益者）の三者関係が基本です。
105-5,ロ,契約関係では、当事者間に圧倒的な情報格差が存在し、プロフェッショナルに全てを託すことが前提となる。,FALSE,これは「信認」関係の説明です。一般的な「契約」関係は、当事者が対等な立場で各自の利益を追求することが前提です。
105-5,ハ,プロフェッショナルは、既存の常識や商慣習に疑問を投げかけ、投資家の利益に適う改善を続けていく必要がある。,TRUE,はい、専門家には、常に自己研鑽に励み、より良いサービスを提供し続ける姿勢が求められます。
105-5,ニ,不動産証券化協会認定マスターが職業倫理規程に違反した場合の処分は、厳重注意、一時登録抹消、資格の取消しの3つである。,FALSE,処分は、厳重注意、戒告、一時登録抹消、資格の取消し、資格の剥奪の5段階です。
